138964067,624491872
138967319,624498757
138970305,624501818
138971132,624502438
138971880,624503058
139025627,624542075
139075752,624555504
139076500,624563539
139077382,624577622
139078130,624589930
139078957,624590550
139079759,624591224
139081638,624593026
139082386,624594146
139083815,624595014
139084786,624595889
139213002,624605152
139213829,624605772
139214771,624610200
139215598,624615997
139216454,624630110
139217595,624632249
139218481,624634250
139219337,624635234
139220164,624635989
139220912,624636609
139221739,624637311
139223374,624638914
139224201,624643256
139225080,624644139
139225883,624654177
139226941,624662560
139228063,624663490
139228866,624664176
139229911,624664982
139233973,624669320
139234986,624682470
139235906,624686436
139236733,624691698
139237481,624694151
139238961,624705413
139240675,624711787
139241703,624712764
139242674,624713504
139243422,624714124
139244249,624714744
139244997,624715499
139245824,624716119
139246842,624721019
139247590,624721949
139248928,624730342
139249676,624742882
139250503,624744684
139251251,624746486
139252256,624747366
139253059,624749234
139254694,624750973
139255563,624754203
139256862,624760660
139257887,624762476
139258773,624777425
139259600,624791993
139260348,624796343
139261096,624797130
139262075,624798313
139262823,624801123
139263650,624812795
139264575,624816218
139265323,624818255
139266150,624827759
139267881,624830751
139268708,624836993
139270016,624850583
139270843,624851704
139271909,624852464
139272657,624853084
139273484,624853704
139274287,624855314
139275168,624868878
139275999,624871468
139276880,624875419
139277628,624883625
139278376,624889867
139279203,624894800
139279951,624895420
139281665,624897023
139282565,624898039
139283552,624900325
139284379,624901573
139285555,624902247
139288545,624917519
139289293,624923761
139290292,624925046
139291040,624925666
139291867,624930016
139292701,624930714
139293449,624931334
139294362,624933057
139295165,624934328
139318239,624946547
139318987,624959939
139320000,624963998
139320748,624965119
139321752,624965862
139322500,624970212
139323248,624971977
139324075,624974961
139324975,624977493
139325886,624979969
139326688,624981825
139327889,624999685
139328637,625000639
139329385,625001508
139330949,625003310
139331847,625008644
139332763,625009318
139333553,625010481
139334380,625011252
139335128,625011872
139335930,625012546
139336812,625025722
